2026-08-17T18:41:40.156119945Z	INFO	agent	agent/main.go:54	Starting snapshot agent	{"node": "computeinstance-e00cb0qn9h8sqqwd9x", "restricted_namespace": "archvteams-2407-k301ud", "runtime": "containerd"}
2026-08-17T18:41:40.157925569Z	INFO	controller	controller/controller.go:134	Starting snapshot node controller	{"node": "computeinstance-e00cb0qn9h8sqqwd9x", "checkpoint_source_label": "nvidia.com/snapshot-is-checkpoint-source", "checkpoint_id_label": "nvidia.com/snapshot-checkpoint-id"}
2026-08-17T18:41:40.1579476Z	INFO	controller	controller/controller.go:142	Restricting pod watching to namespace	{"namespace": "archvteams-2407-k301ud"}
2026-08-17T18:41:40.258679716Z	INFO	controller	controller/controller.go:273	PodSnapshot node controller started and caches synced
2026-08-17T18:50:01.807299559Z	INFO	controller	executor/checkpoint.go:56	=== Starting checkpoint operation ===	{"content": "podsnapshotcontent-bb78bbd4-7424-417a-8373-27442eda64ed"}
2026-08-17T18:50:13.851892663Z	INFO	controller	criu/dump.go:126	CRIU dump completed	{"content": "podsnapshotcontent-bb78bbd4-7424-417a-8373-27442eda64ed", "duration": 11.125346726}
2026-08-17T18:50:13.955576572Z	INFO	controller	executor/checkpoint.go:110	Checkpoint timing summary	{"content": "podsnapshotcontent-bb78bbd4-7424-417a-8373-27442eda64ed", "checkpoint": {"duration":"12.148281425s","phases":{"criu_dump_duration":"11.125346726s","cuda_duration":"902.223842ms","finalize_duration":"18.695µs","overlay_capture_duration":"103.588593ms","prepare_duration":"16.985776ms"}}}
2026-08-17T18:50:13.955635308Z	INFO	controller	executor/checkpoint.go:123	Checkpoint wall time from agent detection	{"content": "podsnapshotcontent-bb78bbd4-7424-417a-8373-27442eda64ed", "started_to_checkpoint_complete": 12.148348905}
2026-08-17T18:51:26.109872431Z	INFO	controller	controller/controller.go:498	Restore target detected, triggering external restore	{"pod": "archvteams-2407-k301ud/qwen3-8b-restore", "checkpoint_id": "qwen3-8b-k301ud-aio-v1", "container": "main"}
2026-08-17T18:51:26.128493968Z	INFO	controller	executor/restore.go:50	=== Starting external restore ===	{"pod": "archvteams-2407-k301ud/qwen3-8b-restore", "checkpoint_id": "qwen3-8b-k301ud-aio-v1", "container_id": "d0427703a05703c01f31385ed74e8948dd88f9def1bd2261d77eaf29c932d962", "checkpoint_id": "qwen3-8b-k301ud-aio-v1", "pod": "qwen3-8b-restore", "namespace": "archvteams-2407-k301ud", "container": "main"}
2026-08-17T18:51:26.150772569Z	INFO	nsrestore	executor/nsrestore.go:36	Starting nsrestore workflow	{"checkpoint_path": "/checkpoints/qwen3-8b-k301ud-aio-v1/versions/1", "has_cuda_map": false, "cgroup_root": "/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod2e76d8fb_6b58_49f9_b46e_454b433e43d3.slice/cri-containerd-d0427703a05703c01f31385ed74e8948dd88f9def1bd2261d77eaf29c932d962.scope", "target_pod_ip_present": true}
2026-08-17T18:51:26.152668622Z	INFO	nsrestore	criu/inet_remap.go:94	Configured CRIU INET socket remap	{"source_pod_ip": "10.50.5.26", "target_pod_ip": "10.50.5.21", "remap_file": "/var/criu-work/snapshot-inet-remap-1378304949.map"}
2026-08-17T18:51:26.152712808Z	INFO	nsrestore	runtime/overlay.go:171	Applying rootfs diff	{"target": "/"}
2026-08-17T18:51:29.75422757Z	INFO	nsrestore	criu/restore.go:203	CRIU post-restore: process restored	{"pid": 75}
2026-08-17T18:51:32.339466329Z	INFO	controller	executor/restore.go:71	Restore timing summary	{"pod": "archvteams-2407-k301ud/qwen3-8b-restore", "checkpoint_id": "qwen3-8b-k301ud-aio-v1", "container_id": "d0427703a05703c01f31385ed74e8948dd88f9def1bd2261d77eaf29c932d962", "restore": {"duration":"6.193556775s","phases":{"criu_restore_duration":"3.615208897s","cuda_duration":"2.549880458s","host_inspect_duration":"6.974782ms","nsrestore_setup_duration":"21.492638ms"}}}
